2385 0xe951 []	Lep S6 dex 176
2386 0xe952 []	Lep T1  [= Run G1 = Raet Θ1] 177
2387 0xe953 []	Lep T2  [=Run T2] 178
2388 0xe954 []	Lep T3 179
2389 0xe955 []	Lep T4 180
2390 0xe956 []	Lep T5 sin [= Lep U6 sin = RunOFx] 181
2391 0xe957 []	Lep T5 dex [= Lep U6 dex = RunOFx]  (0) 182
2392 0xe958 []	Lep T6  [Raet Þ3 = RunT1] 183
2393 0xe959 []	Lep U1  [Raet U2 = Lat U1] 184
2394 0xe95a []	Lep U2 sin  [Raet U4 sin] 185
2395 0xe95b []	Lep U2 dex  [Raet U4 dex] 186
2396 0xe95c []	Lep U3  [= Lep L3 = Raet U1 = Lat A2] 187
2397 0xe95d []	Lep U4 188
2398 0xe95e []	Lep U5 189
2399 0xe95f []	Lep U6 sin  [= Lep T5 sin = RunOFx] 190

2400 0xe960 []	Lep U6 dex  [= Lep T5 dex = RunOFx] 191
2401 0xe961 []	Lep U7 192
2402 0xe962 []	Lep U8 sin 193
2403 0xe963 []	Lep U8 dex 194
2404 0xe964 []	Lep U9 sin [Lep A6 sin = Raet U3 sin = RunOF Ux] 195
2405 0xe965 []	Lep U9 dex [Lep A6 dex = Raet U3 dex = RunOF Ux] 196
2406 0xe966 []	Lep U10 sin  [= Raet U5 sin] 197
2407 0xe967 []	Lep U10 dex  [= Raet U5 dex] 198
2408 0xe968 []	Lep U11 sin  [= Etr C2 = Run Kx]  (0) 199
2409 0xe969 []	Lep U11 dex 200
2410 0xe96a []	Lep U12 sin 201
2411 0xe96b []	Lep U12 dex 202
2412 0xe96c []	Lep Φ1 203
2413 0xe96d []	Lep X1  [= Raet X3 = Raet <fifty>] 204
2414 0xe96e []	Lep K9  (0) (Maras 2014) 205
2415 0xe96f []	Lep X3 206
2416 0xe970 []	Lep X4  [= Raet X1 = Run Z1] 207
2417 0xe971 []	Lep K10  (Maras 2014) [= Lep U4] 208
2418 0xe972 []	Lep X6  [= Raet X4] 209
2419 0xe973 []	Lep O1 210
2420 0xe974 []	Lep O2 211
2421 0xe975 []	Lep O3 212
2422 0xe976 []	Lep O4 213
2423 0xe977 []	Lep O6 214
2424 0xe978 []	Lep O8 215
2425 0xe979 []	Lep O9 216
2426 0xe97a []	LepCam B1 217
2427 0xe97b []	LepCam C1  [= Etr C3 sin = Lat C sin] 218
2428 0xe97c []	LepCam Θ5 219
2429 0xe97d []	LepCam K9 220
2430 0xe97e []	LepCam N11 sin 221
2431 0xe97f []	Lep E10 sin 222

2432 0xe980 []	LepCam O1  [= Etr Θ2] 223
2433 0xe981 []	LepCam P5 sin 224
2434 0xe982 []	LepCam P5 dex  (0) 225
2435 0xe983 []	LepCam P6 sin 226
2436 0xe984 []	LepCam P6 dex 227
2437 0xe985 []	LepCam San7 sin [= Run B1 dex  = Run Þ2 dex] 228
2438 0xe986 []	LepCam San7 dex  [=Run B1 sin = Run P6 = Run Þ2 sin] 229
2439 0xe987 []	LepCam Q2 230
2440 0xe988 []	Etr A1  [= Lep A14 sin] 1
2441 0xe989 []	Etr A2 (Buffa 5)  [= Lep A24 sin = Raet A11 sin] 2
2442 0xe98a []	Etr A3 (Buffa 6)  [= Lep A22 dex = Raet A1 dex] 3
2443 0xe98b []	Etr A4 (Buffa 163) 4
2444 0xe98c []	Etr A5 (Buffa 9) 5
2445 0xe98d []	Etr A6 (Buffa 226) 6
2446 0xe98e []	Etr C1 7
2447 0xe98f []	Etr C2  [= Lep U11 sin = Run K1] 8
2448 0xe990 []	Etr C3  [Lat C sin] 9
2449 0xe991 []	Etr E1  [=Lep E1 sin = Raet E1 sin] 10
2450 0xe992 []	Etr E2 (Buffa 3) 11
2451 0xe993 []	Etr V1  [= Raet V1 sin = Lep V1 sin] 12
2452 0xe994 []	Etr V2  [= Raet V2 sin] 13
2453 0xe995 []	Etr Z1 [= Lep Z6 = Raet Z3] 14
2454 0xe996 []	Etr Z2 15
2455 0xe997 []	Etr Z3 (ab 4. Jh.) 16
2456 0xe998 []	Etr H1 (bis 4. Jh.) 17
2457 0xe999 []	Etr H2 (ab 4. Jh.) 18
2458 0xe99a []	Etr H3 (ab 4. Jh.) 19
2459 0xe99b []	Etr H4 (ab 4. Jh.) 20
2460 0xe99c []	Etr Θ1 (bis 4. Jh.) 21
2461 0xe99d []	Etr Θ2 (bis 4. Jh.) 22
2462 0xe99e []	Etr Θ3 (ab 4. Jh.)  [= Lep Θ1] 23
